accX,accY,accZ
3868.0,287.0,372.0
3868.9,287.625,371.1
3869.8,288.25,370.2
3870.7,288.875,369.3
3871.6,289.5,368.4
3872.5,290.125,367.5
3873.4,290.75,366.6
3874.3,291.375,365.7
3875.2,292.0,364.8
3876.1,292.625,363.9
3877.0,293.25,363.0
3877.9,293.875,362.1
3878.8,294.5,361.2
3879.7,295.125,360.3
3880.6,295.75,359.4
3881.5,296.375,358.5
3882.4,297.0,357.6
3883.3,297.625,356.7
3884.2,298.25,355.8
3885.1,298.875,354.9
3886.0,299.5,354.0
3886.9,300.125,353.1
3887.8,300.75,352.2
3888.7,301.375,351.3
3889.6,302.0,350.4
3890.5,302.625,349.5
3891.4,303.25,348.6
3892.3,303.875,347.7
3893.2,304.5,346.8
3894.1,305.125,345.9
3895.0,305.75,345.0
3895.9,306.375,344.1
3896.8,307.0,343.2
3897.7,307.625,342.3
3898.6,308.25,341.4
3899.5,308.875,340.5
3900.4,309.5,339.6
3901.3,310.125,338.7
3902.2,310.75,337.8
3903.1,311.375,336.9
3904.0,312.0,336.0
3904.84,267.78,296.7
3905.68,223.56,257.4
3906.52,179.34,218.10000000000002
3907.36,135.12,178.8
3908.2,90.9,139.5
3909.04,46.68000000000001,100.20000000000002
3909.88,2.4600000000000364,60.900000000000034
3910.72,-41.75999999999999,21.600000000000023
3911.56,-85.98000000000002,-17.69999999999999
3912.4,-130.2,-57.0
3913.24,-174.41999999999996,-96.29999999999995
3914.08,-218.64,-135.59999999999997
3914.92,-262.86,-174.89999999999998
3915.76,-307.0799999999999,-214.19999999999993
3916.6,-351.29999999999995,-253.5
3917.44,-395.52,-292.79999999999995
3918.28,-439.74,-332.0999999999999
3919.12,-483.96000000000004,-371.4
3919.96,-528.18,-410.69999999999993
3920.8,-572.4,-450.0
3921.64,-616.62,-489.29999999999995
3922.48,-660.8399999999999,-528.5999999999999
3923.32,-705.06,-567.9
3924.16,-749.28,-607.1999999999999
3925.0,-793.5,-646.4999999999999
3925.84,-837.72,-685.8
3926.68,-881.94,-725.0999999999999
3927.52,-926.1599999999999,-764.3999999999999
3928.36,-970.3799999999999,-803.6999999999998
3929.2,-1014.5999999999999,-843.0
3930.04,-1058.82,-882.3
3930.88,-1103.04,-921.5999999999999
3931.72,-1147.26,-960.8999999999999
3932.56,-1191.48,-1000.1999999999998
3933.4,-1235.7,-1039.5
3934.24,-1279.92,-1078.8
3935.08,-1324.1399999999999,-1118.1
3935.92,-1368.36,-1157.3999999999999
3936.76,-1412.58,-1196.6999999999998
3937.6,-1456.8,-1236.0
3938.44,-1501.02,-1275.3
3939.28,-1545.24,-1314.6
3940.12,-1589.46,-1353.8999999999999
3940.96,-1633.6799999999998,-1393.1999999999998
3941.8,-1677.8999999999999,-1432.4999999999998
3942.64,-1722.12,-1471.8
3943.48,-1766.3400000000001,-1511.1
3944.32,-1810.56,-1550.3999999999999
3945.16,-1854.7799999999997,-1589.6999999999998
3946.0,-1899.0,-1629.0
3944.6938775510203,-1853.6530612244899,-1627.9591836734694
3943.387755102041,-1808.3061224489795,-1626.9183673469388
3942.081632653061,-1762.9591836734694,-1625.8775510204082
3940.7755102040815,-1717.6122448979593,-1624.8367346938776
3939.469387755102,-1672.265306122449,-1623.795918367347
3938.1632653061224,-1626.9183673469388,-1622.7551020408164
