accX,accY,accZ
1934.0,3945.0,-1586.0
1970.1666666666667,3944.6041666666665,-1545.9166666666667
2006.3333333333333,3944.2083333333335,-1505.8333333333333
2042.5,3943.8125,-1465.75
2078.6666666666665,3943.4166666666665,-1425.6666666666667
2114.8333333333335,3943.0208333333335,-1385.5833333333333
2151.0,3942.625,-1345.5
2187.1666666666665,3942.2291666666665,-1305.4166666666665
2223.3333333333335,3941.8333333333335,-1265.3333333333333
2259.5,3941.4375,-1225.25
2295.6666666666665,3941.0416666666665,-1185.1666666666665
2331.8333333333335,3940.6458333333335,-1145.0833333333333
2368.0,3940.25,-1105.0
2404.1666666666665,3939.8541666666665,-1064.9166666666665
2440.3333333333335,3939.4583333333335,-1024.8333333333333
2476.5,3939.0625,-984.75
2512.6666666666665,3938.6666666666665,-944.6666666666666
2548.833333333333,3938.2708333333335,-904.5833333333333
2585.0,3937.875,-864.5
2621.1666666666665,3937.4791666666665,-824.4166666666666
2657.333333333333,3937.0833333333335,-784.3333333333333
2693.5,3936.6875,-744.25
2729.6666666666665,3936.2916666666665,-704.1666666666666
2765.833333333333,3935.8958333333335,-664.0833333333333
2802.0,3935.5,-624.0
2838.1666666666665,3935.1041666666665,-583.9166666666666
2874.333333333333,3934.7083333333335,-543.8333333333333
2910.5,3934.3125,-503.75
2946.6666666666665,3933.9166666666665,-463.6666666666665
2982.833333333333,3933.5208333333335,-423.58333333333326
3019.0,3933.125,-383.5
3055.1666666666665,3932.7291666666665,-343.4166666666665
3091.333333333333,3932.3333333333335,-303.33333333333326
3127.5,3931.9375,-263.25
3163.6666666666665,3931.5416666666665,-223.16666666666652
3199.833333333333,3931.1458333333335,-183.08333333333326
3236.0,3930.75,-143.0
3272.1666666666665,3930.3541666666665,-102.91666666666652
3308.333333333333,3929.9583333333335,-62.83333333333326
3344.5,3929.5625,-22.75
3380.6666666666665,3929.1666666666665,17.333333333333485
3416.833333333333,3928.7708333333335,57.41666666666674
3453.0,3928.375,97.5
3489.1666666666665,3927.9791666666665,137.58333333333348
3525.333333333333,3927.5833333333335,177.66666666666674
3561.5,3927.1875,217.75
3597.6666666666665,3926.7916666666665,257.8333333333335
3633.833333333333,3926.3958333333335,297.91666666666674
3670.0,3926.0,338.0
3632.6666666666665,3887.3529411764707,294.54901960784315
3595.3333333333335,3848.705882352941,251.09803921568627
3558.0,3810.0588235294117,207.6470588235294
3520.6666666666665,3771.4117647058824,164.19607843137254
3483.3333333333335,3732.764705882353,120.74509803921569
3446.0,3694.1176470588234,77.29411764705878
3408.6666666666665,3655.470588235294,33.84313725490193
3371.3333333333335,3616.823529411765,-9.607843137254918
3334.0,3578.176470588235,-53.05882352941177
3296.6666666666665,3539.529411764706,-96.50980392156862
3259.3333333333335,3500.8823529411766,-139.96078431372553
3222.0,3462.235294117647,-183.41176470588243
3184.6666666666665,3423.5882352941176,-226.86274509803923
3147.333333333333,3384.9411764705883,-270.31372549019613
3110.0,3346.2941176470586,-313.7647058823529
3072.6666666666665,3307.6470588235293,-357.21568627450984
3035.333333333333,3269.0,-400.66666666666674
2998.0,3230.3529411764707,-444.11764705882354
2960.6666666666665,3191.705882352941,-487.56862745098044
2923.333333333333,3153.0588235294117,-531.0196078431372
2886.0,3114.4117647058824,-574.4705882352941
2848.6666666666665,3075.764705882353,-617.921568627451
2811.333333333333,3037.1176470588234,-661.3725490196078
2774.0,2998.470588235294,-704.8235294117649
2736.6666666666665,2959.823529411765,-748.2745098039215
2699.333333333333,2921.176470588235,-791.7254901960785
2662.0,2882.529411764706,-835.1764705882354
2624.6666666666665,2843.8823529411766,-878.6274509803923
2587.333333333333,2805.235294117647,-922.0784313725492
2550.0,2766.5882352941176,-965.5294117647059
2512.6666666666665,2727.9411764705883,-1008.9803921568628
2475.333333333333,2689.2941176470586,-1052.4313725490197
2438.0,2650.6470588235293,-1095.8823529411766
2400.6666666666665,2612.0,-1139.3333333333335
2363.333333333333,2573.3529411764703,-1182.7843137254902
2326.0,2534.7058823529414,-1226.235294117647
2288.6666666666665,2496.0588235294117,-1269.686274509804
2251.333333333333,2457.411764705882,-1313.137254901961
2214.0,2418.764705882353,-1356.5882352941178
2176.6666666666665,2380.1176470588234,-1400.0392156862745
2139.333333333333,2341.470588235294,-1443.4901960784314
2102.0,2302.823529411765,-1486.9411764705883
2064.6666666666665,2264.176470588235,-1530.3921568627452
2027.3333333333333,2225.529411764706,-1573.843137254902
1990.0,2186.8823529411766,-1617.294117647059
1952.6666666666665,2148.235294117647,-1660.7450980392157
1915.3333333333333,2109.5882352941176,-1704.1960784313726
1878.0,2070.9411764705883,-1747.6470588235297
1840.6666666666665,2032.2941176470588,-1791.0980392156862
1803.3333333333333,1993.6470588235293,-1834.549019607843
1766.0,1955.0,-1878.0
1800.2592592592594,1990.6296296296296,-1877.462962962963
1834.5185185185185,2026.2592592592594,-1876.9259259259259
1868.7777777777778,2061.8888888888887,-1876.388888888889
1903.037037037037,2097.5185185185187,-1875.851851851852
1937.2962962962963,2133.1481481481483,-1875.3148148148148
1971.5555555555557,2168.777777777778,-1874.7777777777778
2005.8148148148148,2204.4074074074074,-1874.2407407407406
2040.0740740740741,2240.037037037037,-1873.7037037037037
2074.3333333333335,2275.6666666666665,-1873.1666666666667
